,source_id,target_id,field,university_id,Citations_all,h-index_all,country,gender
98,cPCHycsAAAAJ,aFNUxNIAAAAJ,Social Sciences,1.478454747607935e+19,16378.0,59.0,US,female
99,cPCHycsAAAAJ,AELT_0kAAAAJ,Social Sciences,1.478454747607935e+19,16378.0,59.0,US,female
100,cPCHycsAAAAJ,INTiP24AAAAJ,Social Sciences,1.478454747607935e+19,16378.0,59.0,US,female
101,cPCHycsAAAAJ,7p7WZZoAAAAJ,Social Sciences,1.478454747607935e+19,16378.0,59.0,US,female
102,cPCHycsAAAAJ,fORvrd8AAAAJ,Social Sciences,1.478454747607935e+19,16378.0,59.0,US,female
103,aFNUxNIAAAAJ,cPCHycsAAAAJ,Psychology,1.7070613643812647e+19,628.0,13.0,US,female
104,TxjxrnUAAAAJ,-6reht8AAAAJ,Psychology,2.902944212058439e+18,469.0,9.0,US,female
105,AD0WdbgAAAAJ,7p7WZZoAAAAJ,Social Sciences,2.902944212058439e+18,647.0,9.0,US,female
106,6-C8WyIAAAAJ,8P_yMLMAAAAJ,Social Sciences,1.1049089957688873e+19,18052.0,76.0,US,male
107,6-C8WyIAAAAJ,dc2IWLkAAAAJ,Social Sciences,1.1049089957688873e+19,18052.0,76.0,US,male
108,6-C8WyIAAAAJ,1gERmtMAAAAJ,Social Sciences,1.1049089957688873e+19,18052.0,76.0,US,male
109,6-C8WyIAAAAJ,hEqmxx8AAAAJ,Social Sciences,1.1049089957688873e+19,18052.0,76.0,US,male
110,INTiP24AAAAJ,ufMGQ3MAAAAJ,Social Sciences,1.4771552348847878e+19,7237.0,34.0,US,female
111,INTiP24AAAAJ,1dEhBVwAAAAJ,Social Sciences,1.4771552348847878e+19,7237.0,34.0,US,female
112,INTiP24AAAAJ,NzwC_FQAAAAJ,Social Sciences,1.4771552348847878e+19,7237.0,34.0,US,female
113,INTiP24AAAAJ,cPCHycsAAAAJ,Social Sciences,1.4771552348847878e+19,7237.0,34.0,US,female
114,INTiP24AAAAJ,V7WdCcsAAAAJ,Social Sciences,1.4771552348847878e+19,7237.0,34.0,US,female
115,INTiP24AAAAJ,ThG-tbcAAAAJ,Social Sciences,1.4771552348847878e+19,7237.0,34.0,US,female
116,AELT_0kAAAAJ,-6reht8AAAAJ,Social Sciences,9.978187131614663e+18,2465.0,19.0,US,female
117,AELT_0kAAAAJ,cPCHycsAAAAJ,Social Sciences,9.978187131614663e+18,2465.0,19.0,US,female
118,n07X8FoAAAAJ,P9JQOi8AAAAJ,Agricultural and Biological Sciences,1.0473421931076813e+19,1391.0,20.0,IT,male
119,n07X8FoAAAAJ,XPctSoUAAAAJ,Agricultural and Biological Sciences,1.0473421931076813e+19,1391.0,20.0,IT,male
120,8R2H1LAAAAAJ,KJs3XswAAAAJ,Neuroscience,,,,,
121,8R2H1LAAAAAJ,-JAkXiMAAAAJ,Neuroscience,,,,,
122,8R2H1LAAAAAJ,aOHoWTAAAAAJ,Neuroscience,,,,,
123,8R2H1LAAAAAJ,Z3jU6mQAAAAJ,Neuroscience,,,,,
124,lWjexuQAAAAJ,H_ICOW4AAAAJ,Neuroscience,,,,,
125,lWjexuQAAAAJ,nyUoJk0AAAAJ,Neuroscience,,,,,
126,lWjexuQAAAAJ,_HD2h-gAAAAJ,Neuroscience,,,,,
127,lWjexuQAAAAJ,dAR7P3IAAAAJ,Neuroscience,,,,,
128,_HD2h-gAAAAJ,lWjexuQAAAAJ,Mathematics,,,,,
129,_HD2h-gAAAAJ,-9smtb4AAAAJ,Mathematics,,,,,
130,_HD2h-gAAAAJ,cXz0y-EAAAAJ,Mathematics,,,,,
131,_HD2h-gAAAAJ,oHLjQTEAAAAJ,Mathematics,,,,,
132,iA8BzaoAAAAJ,8YU1-hwAAAAJ,Biochemistry Genetics and Molecular Biology,1.2981501905107792e+19,13024.0,57.0,US,male
133,I3_igNUAAAAJ,cUX65NsAAAAJ,Electrical and Electronic Engineering,,,,,
134,cUX65NsAAAAJ,I3_igNUAAAAJ,Agricultural and Biological Sciences,,,,,
135,-b-tzzgAAAAJ,Lh5KX50AAAAJ,Agricultural and Biological Sciences,1.181629409566106e+19,9130.0,44.0,US,male
136,hjgJXSEAAAAJ,PWp9YUUAAAAJ,Agricultural and Biological Sciences,1.406006717464993e+19,1788.0,27.0,US,male
137,hjgJXSEAAAAJ,pCV2bLAAAAAJ,Agricultural and Biological Sciences,1.406006717464993e+19,1788.0,27.0,US,male
138,hjgJXSEAAAAJ,LUIfqOoAAAAJ,Agricultural and Biological Sciences,1.406006717464993e+19,1788.0,27.0,US,male
139,hjgJXSEAAAAJ,HxO0UHYAAAAJ,Agricultural and Biological Sciences,1.406006717464993e+19,1788.0,27.0,US,male
140,t2ZEe1MAAAAJ,LW1gNSsAAAAJ,Computer Science,1.816291670999121e+19,209.0,6.0,DO,male
141,00OfeX4AAAAJ,3MRRFEAAAAAJ,Computer Science,3.8036211636404326e+17,410.0,7.0,US,male
142,IcazmfEAAAAJ,4vlYpiYAAAAJ,Social Sciences,1.0969585421171712e+19,1399.0,19.0,TW,female
143,ILP0h40AAAAJ,TJSSe0IAAAAJ,Economics Econometrics and Finance,5.395365938585914e+18,3287.0,28.0,US,female
144,ILP0h40AAAAJ,oHRPDwcAAAAJ,Economics Econometrics and Finance,5.395365938585914e+18,3287.0,28.0,US,female
145,vxG8oc4AAAAJ,y7hBNpUAAAAJ,Agricultural and Biological Sciences,1.5504764468867135e+19,1013.0,20.0,FR,male
146,vxG8oc4AAAAJ,VjlCVaoAAAAJ,Agricultural and Biological Sciences,1.5504764468867135e+19,1013.0,20.0,FR,male
147,vxG8oc4AAAAJ,sHCYbNQAAAAJ,Agricultural and Biological Sciences,1.5504764468867135e+19,1013.0,20.0,FR,male
148,vxG8oc4AAAAJ,NVzn5GQAAAAJ,Agricultural and Biological Sciences,1.5504764468867135e+19,1013.0,20.0,FR,male
149,z6uGtv4AAAAJ,e0In0ogAAAAJ,Health Professions,8.564959383342472e+17,3469.0,35.0,US,female
150,NIBYxpIAAAAJ,rU_6fE0AAAAJ,Health Professions,1.0680603084482566e+19,893.0,12.0,US,female
151,6ZmSKjcAAAAJ,UHkodEQAAAAJ,Neuroscience,1.3860336253325435e+19,706.0,16.0,US,female
152,6ZmSKjcAAAAJ,aQhDgGEAAAAJ,Neuroscience,1.3860336253325435e+19,706.0,16.0,US,female
153,B9DU7cIAAAAJ,UAePgqQAAAAJ,Agricultural and Biological Sciences,,,,,
154,BByKtkUAAAAJ,b8ihZ-oAAAAJ,Immunology and Microbiology,8.198649032033711e+18,12121.0,43.0,NL,male
155,BByKtkUAAAAJ,KuOZZSAAAAAJ,Immunology and Microbiology,8.198649032033711e+18,12121.0,43.0,NL,male
156,BByKtkUAAAAJ,y6sm7j8AAAAJ,Immunology and Microbiology,8.198649032033711e+18,12121.0,43.0,NL,male
157,BByKtkUAAAAJ,zv9seLwAAAAJ,Immunology and Microbiology,8.198649032033711e+18,12121.0,43.0,NL,male
158,BByKtkUAAAAJ,VX3Laf8AAAAJ,Immunology and Microbiology,8.198649032033711e+18,12121.0,43.0,NL,male
159,BByKtkUAAAAJ,s8i7LaAAAAAJ,Immunology and Microbiology,8.198649032033711e+18,12121.0,43.0,NL,male
160,S8mtOroAAAAJ,ceGQ1ooAAAAJ,Physics and Astronomy,1.6426439725827928e+19,1075.0,16.0,IT,male
161,S8mtOroAAAAJ,lkT2r3UAAAAJ,Physics and Astronomy,1.6426439725827928e+19,1075.0,16.0,IT,male
162,S8mtOroAAAAJ,eWMHaQcAAAAJ,Physics and Astronomy,1.6426439725827928e+19,1075.0,16.0,IT,male
163,S8mtOroAAAAJ,-i0BbDgAAAAJ,Physics and Astronomy,1.6426439725827928e+19,1075.0,16.0,IT,male
164,S8mtOroAAAAJ,FOfDj5gAAAAJ,Physics and Astronomy,1.6426439725827928e+19,1075.0,16.0,IT,male
165,-i0BbDgAAAAJ,eWMHaQcAAAAJ,Media Technology,8.902509285811886e+18,1059.0,13.0,IT,male
166,-i0BbDgAAAAJ,FOfDj5gAAAAJ,Media Technology,8.902509285811886e+18,1059.0,13.0,IT,male
167,-i0BbDgAAAAJ,S8mtOroAAAAJ,Media Technology,8.902509285811886e+18,1059.0,13.0,IT,male
168,-i0BbDgAAAAJ,GInxaQUAAAAJ,Media Technology,8.902509285811886e+18,1059.0,13.0,IT,male
169,-i0BbDgAAAAJ,BUwMtQQAAAAJ,Media Technology,8.902509285811886e+18,1059.0,13.0,IT,male
170,eWMHaQcAAAAJ,-i0BbDgAAAAJ,Electrical and Electronic Engineering,1.6426439725827928e+19,899.0,9.0,IT,male
171,eWMHaQcAAAAJ,GInxaQUAAAAJ,Electrical and Electronic Engineering,1.6426439725827928e+19,899.0,9.0,IT,male
172,eWMHaQcAAAAJ,S8mtOroAAAAJ,Electrical and Electronic Engineering,1.6426439725827928e+19,899.0,9.0,IT,male
173,eWMHaQcAAAAJ,FOfDj5gAAAAJ,Electrical and Electronic Engineering,1.6426439725827928e+19,899.0,9.0,IT,male
174,eWMHaQcAAAAJ,h2y93zoAAAAJ,Electrical and Electronic Engineering,1.6426439725827928e+19,899.0,9.0,IT,male
175,FOfDj5gAAAAJ,-i0BbDgAAAAJ,Electrical and Electronic Engineering,1.6426439725827928e+19,549.0,12.0,IT,female
176,FOfDj5gAAAAJ,eWMHaQcAAAAJ,Electrical and Electronic Engineering,1.6426439725827928e+19,549.0,12.0,IT,female
177,FOfDj5gAAAAJ,S8mtOroAAAAJ,Electrical and Electronic Engineering,1.6426439725827928e+19,549.0,12.0,IT,female
